File,Type,Name,JavadocPresent
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Settings/SettingsBizlet.java",Class,SettingsBizlet,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Settings/SettingsBizlet.java",Method,newInstance,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/GenerateExampleDataBatchJob.java",Class,GenerateExampleDataBatchJob,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/GenerateExampleDataBatchJob.java",Method,cancel,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/GenerateExampleDataBatchJob.java",Method,execute,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Person/PersonExtension.java",Class,PersonExtension,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Person/PersonExtension.java",Method,setNextAssessmentDateDateTime,true
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Person/PersonExtension.java",Method,selfAssessmentDue,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Person/PersonExtension.java",Method,loadCandidateNotifications,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Person/PersonExtension.java",Method,identifyGroup,true
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Person/PersonBizlet.java",Class,PersonBizlet,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Person/PersonBizlet.java",Method,preSave,true
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Person/PersonBizlet.java",Method,preExecute,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Person/PersonBizlet.java",Method,preRerender,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Person/PersonBizlet.java",Method,validate,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Person/actions/AddSelfAssessment.java",Class,AddSelfAssessment,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Person/actions/AddSelfAssessment.java",Method,execute,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Person/actions/MakeUser.java",Class,MakeUser,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Person/actions/MakeUser.java",Method,execute,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Person/actions/MakeUser.java",Method,makeUserFromPerson,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Person/PersonFactory.java",Class,PersonFactory,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Person/PersonFactory.java",Method,seedInstance,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Notification/NotificationExtension.java",Class,NotificationExtension,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Notification/NotificationExtension.java",Method,getThumbnail,false
"/Users/benpetito/workspace/covid19/src/main/java/modules/covid19/Notification/NotificationBizlet.java",Class,NotificationBizlet,false
