File,Type,Name,JavadocPresent
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/ClientSpecShowerScreen/ClientSpecShowerScreenBizlet.java",Class,ClientSpecShowerScreenBizlet,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/ClientSpecShowerScreen/ClientSpecShowerScreenBizlet.java",Method,getVariantDomainValues,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/ClientSpecMainRender/ClientSpecMainRenderBizlet.java",Class,ClientSpecMainRenderBizlet,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/ClientSpecMainRender/ClientSpecMainRenderBizlet.java",Method,getVariantDomainValues,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/LookupCode/LookupCodeBizlet.java",Class,LookupCodeBizlet,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/LookupCode/LookupCodeBizlet.java",Method,preDelete,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/LookupCode/LookupCodeBizlet.java",Method,postSave,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/LookupCode/LookupCodeBizlet.java",Method,validate,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/Settings/SettingsBizlet.java",Class,SettingsBizlet,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/Settings/SettingsBizlet.java",Method,getVariantDomainValues,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/Settings/actions/EnableAllSteps.java",Class,EnableAllSteps,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/Settings/actions/EnableAllSteps.java",Method,execute,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/Settings/actions/InitialiseCommunications.java",Class,InitialiseCommunications,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/Settings/actions/InitialiseCommunications.java",Method,execute,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/Settings/SettingsFactory.java",Class,SettingsFactory,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/ClientSpecFeatureRender/ClientSpecFeatureRenderBizlet.java",Class,ClientSpecFeatureRenderBizlet,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/ClientSpecFeatureRender/ClientSpecFeatureRenderBizlet.java",Method,getVariantDomainValues,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/HandoverChecklistItem/HandoverChecklistItemBizlet.java",Class,HandoverChecklistItemBizlet,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/HandoverChecklistItem/HandoverChecklistItemBizlet.java",Method,getVariantDomainValues,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/HandoverChecklistItem/HandoverChecklistItemBizlet.java",Method,preExecute,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/HandoverChecklistItem/HandoverChecklistItemBizlet.java",Method,preRerender,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/HandoverChecklistItem/HandoverChecklistItemBizlet.java",Method,preSave,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/HandoverChecklistItem/HandoverChecklistItemBizlet.java",Method,validate,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/HandoverChecklistItem/actions/AddDefect.java",Class,AddDefect,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/HandoverChecklistItem/actions/AddDefect.java",Method,execute,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/HandoverChecklistItem/actions/ClearBoth.java",Class,ClearBoth,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/HandoverChecklistItem/actions/ClearBoth.java",Method,execute,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/HandoverChecklistItem/HandoverChecklistItemExtension.java",Class,HandoverChecklistItemExtension,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/HandoverChecklistItem/HandoverChecklistItemExtension.java",Method,getItemNoDisplay,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/HandoverChecklistItem/HandoverChecklistItemExtension.java",Method,getUnacceptableRooms,true
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/HandoverChecklistItem/HandoverChecklistItemExtension.java",Method,markRoomsAcceptable,true
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/HandoverChecklistItem/HandoverChecklistItemExtension.java",Method,markRoomsNotApplicable,true
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/ValidationUtils.java",Class,ValidationUtils,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/ValidationUtils.java",Method,getDisplayName,true
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/ValidationUtils.java",Method,validateMandatoryField,true
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/AbstractContentContainer/AbstractContentContainerExtension.java",Class,AbstractContentContainerExtension,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/AbstractContentContainer/AbstractContentContainerExtension.java",Method,getColumnDisplay,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/AbstractContentContainer/AbstractContentContainerBizlet.java",Class,AbstractContentContainerBizlet,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/AbstractContentContainer/AbstractContentContainerBizlet.java",Method,preExecute,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/ClientSpecMirror/ClientSpecMirrorBizlet.java",Class,ClientSpecMirrorBizlet,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/ClientSpecMirror/ClientSpecMirrorBizlet.java",Method,getVariantDomainValues,false
"/Users/benpetito/workspace/the-clothier/src/main/java/modules/theClothier/TaskContentContainer/TaskContentContainerFactory.java",Class,TaskContentContainerFactory,false
